dhb,cases
Auckland,97
Bay of Plenty,15
Canterbury,52
Capital and Coast,58
Counties Manukau,47
Hawke's Bay,15
Hutt Valley,13
Lakes,11
MidCentral,11
Nelson Marlborough,22
Northland,9
South Canterbury,7
Southern,98
Tairāwhiti,1
Taranaki,13
Waikato,81
Wairarapa,5
Waitemata,86
West Coast,3
Whanganui,3
