dhb,cases
Auckland,174
Bay of Plenty,47
Canterbury,160
Capital and Coast,95
Counties Manukau,118
Hawke's Bay,42
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,28
South Canterbury,16
Southern,216
Tairāwhiti,4
Taranaki,14
Waikato,191
Wairarapa,8
Waitemata,219
West Coast,5
Whanganui,9
