dhb,cases
Auckland,116
Bay of Plenty,21
Canterbury,53
Capital and Coast,63
Counties Manukau,59
Hawke's Bay,19
Hutt Valley,15
Lakes,11
MidCentral,19
Nelson Marlborough,27
Northland,11
South Canterbury,10
Southern,118
Tairāwhiti,1
Taranaki,15
Waikato,117
Wairarapa,6
Waitemata,108
West Coast,3
Whanganui,5
