dhb,cases
Auckland,184
Bay of Plenty,44
Canterbury,146
Capital and Coast,92
Counties Manukau,109
Hawke's Bay,41
Hutt Valley,20
Lakes,15
MidCentral,29
Nelson Marlborough,48
Northland,26
South Canterbury,14
Southern,214
Tairāwhiti,4
Taranaki,14
Waikato,183
Wairarapa,8
Waitemata,205
West Coast,6
Whanganui,7
