dhb,cases
Auckland,186
Bay of Plenty,47
Canterbury,154
Capital and Coast,95
Counties Manukau,111
Hawke's Bay,41
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,27
South Canterbury,16
Southern,216
Tairāwhiti,4
Taranaki,14
Waikato,185
Wairarapa,8
Waitemata,212
West Coast,5
Whanganui,9
