dhb,cases
Auckland,185
Bay of Plenty,46
Canterbury,153
Capital and Coast,93
Counties Manukau,111
Hawke's Bay,41
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,28
South Canterbury,16
Southern,216
Tairāwhiti,4
Taranaki,14
Waikato,185
Wairarapa,8
Waitemata,212
West Coast,5
Whanganui,8
