dhb,cases
Auckland,91
Bay of Plenty,11
Canterbury,49
Capital and Coast,57
Counties Manukau,40
Hawke's Bay,12
Hutt Valley,13
Lakes,9
MidCentral,11
Nelson Marlborough,20
Northland,9
South Canterbury,7
Southern,83
Tairāwhiti,1
Taranaki,11
Waikato,76
Wairarapa,5
Waitemata,78
West Coast,3
Whanganui,3
