dhb,cases
Auckland,75
Bay of Plenty,12
Canterbury,46
Capital and Coast,49
Counties Manukau,38
Hawke's Bay,12
Hutt Valley,13
Lakes,8
MidCentral,10
Nelson Marlborough,19
Northland,7
South Canterbury,5
Southern,70
Tairāwhiti,1
Taranaki,11
Waikato,63
Wairarapa,5
Waitemata,64
West Coast,3
Whanganui,3
