dhb,cases
Auckland,137
Bay of Plenty,31
Canterbury,86
Capital and Coast,80
Counties Manukau,77
Hawke's Bay,29
Hutt Valley,18
Lakes,12
MidCentral,22
Nelson Marlborough,35
Northland,16
South Canterbury,10
Southern,160
Tairāwhiti,1
Taranaki,14
Waikato,146
Wairarapa,8
Waitemata,145
West Coast,4
Whanganui,8
