dhb,cases
Auckland,104
Bay of Plenty,18
Canterbury,52
Capital and Coast,60
Counties Manukau,53
Hawke's Bay,16
Hutt Valley,14
Lakes,11
MidCentral,13
Nelson Marlborough,22
Northland,11
South Canterbury,10
Southern,108
Tairāwhiti,1
Taranaki,14
Waikato,91
Wairarapa,6
Waitemata,98
West Coast,3
Whanganui,3
