dhb,cases
Auckland,153
Bay of Plenty,36
Canterbury,99
Capital and Coast,82
Counties Manukau,88
Hawke's Bay,33
Hutt Valley,20
Lakes,12
MidCentral,28
Nelson Marlborough,44
Northland,18
South Canterbury,10
Southern,187
Tairāwhiti,1
Taranaki,14
Waikato,156
Wairarapa,8
Waitemata,160
West Coast,4
Whanganui,7
