dhb,cases
Auckland,175
Bay of Plenty,47
Canterbury,162
Capital and Coast,95
Counties Manukau,120
Hawke's Bay,43
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,28
South Canterbury,16
Southern,216
Tairāwhiti,4
Taranaki,15
Waikato,192
Wairarapa,8
Waitemata,220
West Coast,5
Whanganui,9
