dhb,cases
Auckland,127
Bay of Plenty,30
Canterbury,66
Capital and Coast,73
Counties Manukau,70
Hawke's Bay,29
Hutt Valley,18
Lakes,11
MidCentral,21
Nelson Marlborough,32
Northland,13
South Canterbury,10
Southern,151
Tairāwhiti,1
Taranaki,14
Waikato,136
Wairarapa,8
Waitemata,129
West Coast,4
Whanganui,7
