dhb,cases
Auckland,155
Bay of Plenty,38
Canterbury,114
Capital and Coast,82
Counties Manukau,92
Hawke's Bay,35
Hutt Valley,21
Lakes,12
MidCentral,28
Nelson Marlborough,46
Northland,20
South Canterbury,10
Southern,195
Tairāwhiti,1
Taranaki,14
Waikato,159
Wairarapa,8
Waitemata,169
West Coast,4
Whanganui,7
