dhb,cases
Auckland,159
Bay of Plenty,40
Canterbury,119
Capital and Coast,83
Counties Manukau,95
Hawke's Bay,35
Hutt Valley,21
Lakes,12
MidCentral,28
Nelson Marlborough,48
Northland,20
South Canterbury,10
Southern,200
Tairāwhiti,1
Taranaki,14
Waikato,163
Wairarapa,8
Waitemata,171
West Coast,5
Whanganui,7
