dhb,cases
Auckland,185
Bay of Plenty,45
Canterbury,150
Capital and Coast,93
Counties Manukau,110
Hawke's Bay,41
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,27
South Canterbury,15
Southern,216
Tairāwhiti,4
Taranaki,14
Waikato,184
Wairarapa,8
Waitemata,211
West Coast,5
Whanganui,8
