dhb,cases
Auckland,178
Bay of Plenty,47
Canterbury,164
Capital and Coast,95
Counties Manukau,127
Hawke's Bay,44
Hutt Valley,20
Lakes,16
MidCentral,32
Nelson Marlborough,49
Northland,28
South Canterbury,17
Southern,216
Tairāwhiti,4
Taranaki,16
Waikato,188
Wairarapa,8
Waitemata,236
West Coast,5
Whanganui,9
