dhb,cases
Auckland,178
Bay of Plenty,47
Canterbury,163
Capital and Coast,95
Counties Manukau,127
Hawke's Bay,44
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,49
Northland,28
South Canterbury,17
Southern,216
Tairāwhiti,4
Taranaki,16
Waikato,186
Wairarapa,8
Waitemata,226
West Coast,5
Whanganui,9
