dhb,cases
Auckland,121
Bay of Plenty,28
Canterbury,59
Capital and Coast,66
Counties Manukau,62
Hawke's Bay,24
Hutt Valley,17
Lakes,11
MidCentral,20
Nelson Marlborough,30
Northland,13
South Canterbury,10
Southern,132
Tairāwhiti,1
Taranaki,14
Waikato,125
Wairarapa,8
Waitemata,117
West Coast,3
Whanganui,7
