dhb,cases
Auckland,147
Bay of Plenty,32
Canterbury,92
Capital and Coast,80
Counties Manukau,81
Hawke's Bay,33
Hutt Valley,19
Lakes,12
MidCentral,27
Nelson Marlborough,40
Northland,17
South Canterbury,10
Southern,177
Tairāwhiti,1
Taranaki,14
Waikato,147
Wairarapa,8
Waitemata,157
West Coast,4
Whanganui,8
