dhb,cases
Auckland,173
Bay of Plenty,47
Canterbury,162
Capital and Coast,95
Counties Manukau,124
Hawke's Bay,44
Hutt Valley,20
Lakes,16
MidCentral,31
Nelson Marlborough,48
Northland,28
South Canterbury,17
Southern,216
Tairāwhiti,4
Taranaki,16
Waikato,186
Wairarapa,8
Waitemata,223
West Coast,5
Whanganui,9
